abandon			[포기하다]
capital [자본], [수도], [대문자]
care [take care of, 돌보다], [걱정하다]	
carelessness [부주의]      careless [부주의한]	
caring [봉사의, 돌보는]	
carpet [양탄자를 깔다]	
case  [경우]	
cash [현금]	
cast [던지다]	
category [범주]		
cause [야기시키다], [이유]
ceasing [ceasing to 그만두다]	
celebrate [축하하다]		
celebration [축하]
celebrity [명사], 명성.		
cereal [곡물로 만든 식품]
ceremony [의식]
certain  [어떤, 약간의], [확실한]  
certainly [확실히]	
certainty [with certainty, 확실히], [확실, 확신]
chairman [의장, 회장]	
challenge [도전]	
characterization [성격나타내기, 특성묘사하기] 
character [성격]
charge 	[(책임,의무) 부과하다, 부담시키다, 청구하다]
charity [자선심]	
charley[charley horse 근육경직]	
chase [뒤쫓다]	
cheerful [쾌활한, 명랑한]	
chemistry [화학]
chiefly [주로]	
childhood [어린 시절]	 
childlike [어린애 같은-좋은 뜻}
childish [어른답지 못한-나쁜 뜻]
chimpanzee [침팬지]
citizen [시민]		
civilized [문명화된]	  
civil [the civil service 공무원]
claim [요구(청구)하다]
clap [손뼉을 치다]	
class  [반], [수업], [계급], [등급]
classical  [고전적인]	    
classics [고전]
clear [분명한]	           
clearly  [분명히]
clerk  [점원], [서기]	
climate [기후]	
close  [닫음, 마감], [close to, 가까이에], [닫힌, 폐쇄된]
closely [밀접하게, 가까이, 면밀히]
clover [토끼풀]	
coastal [해안의]
coding [코딩]	
colony 	[식민지]
combine [결합하다]	
comfortably [안락하게]	       
comfort [안락]	
comfortable [안락한]
command [명령]
comment  [논평하다]	
commercial [광고방송]
commitment [make a commitment to A, -에 전념하다]
commit [commit oneself to A, -에 전념하다]	
common [일반적인], [in common, 공통으로], [일상의, common sense, 상식]	
communication  [의사소통]	
community  [공동사회]	
companion  [동료]        
company  [동료], [일행], [회사] 
compare [비교하다]
comparison [in comparison, 비교해서 보면]
compensation [배상, 보충]
compete  [경쟁하다]	       
competition [경쟁]
competence [능력]	
competent  [능력있는]	
compile [자료를 수집하다] 
complain [불평하다]	
complete [완전한] [완성하다]
complex [복잡한]
compose [조립하다] [작문, 작곡하다]
comprehensive [포괄적인]
conceal [숨기다]	
concern [관계, 걱정, 근심] [관계하다]
concert [연주회]	
conclude [결론짓다]	
condition  [상태, 상황, 조건]	
conduct [수행하다, 처리하다]	
confident [확신하는, 자신 만만한]
conflict [갈등]	
conform  [따르게 하다]
congestion[교통의 혼잡]
connected [연속된, 관계가 있는]
conquer [정복하다]	
consciously [의식적으로]	
conscious [의식의]	
consequence                
consequently [결과적으로]
consider  [consider A B,  A를 B라고 생각하다], [고려하다, 간주하다]	
considerable [상당한]
