abandon			[포기하다]
nut [견과류] (땅콩 같은 것)
O
obedience [복종]             obey [복종하다, 순종하다]
object  [물건, 대상], 목적, 목적어
objection [반대, 결함]
observe [관찰하다]             observer  [관찰자]	
obstacle [장애]	
obtain [얻다, 획득하다]	
obviously [분명히]	
occasionally [가끔, 때때로]   occasional [때때로의]	
occupation [직업]	
occupied [점령된]
occur  [발생하다]	    occurrence [사건, 발생]
ocean [대양, 바다]
offense [성내기], take offense; 성내다 	
offer  [제공하다, 제안하다]
officer 	[장교, 공무원]            official [공적인], 공무원 
omit [빠뜨리다, 생략하다]
once  [Once upon a time], [한 번], [한때, 이전에]
one-way [일방통행의]	
onlooker [구경꾼]	
onto [~위에]
openly 	[공공연하게]	
operation [운전, 작동], [작업, 사업], 수술, [작전]
opportunity  [기회]
opposite [정반대의] [정반대의 일, 사람, 말]
orally [구두의]
orchestra [관현악단]	
order  [in order to 부정사, -하기 위해서],
       명령하다, 질서, 순서.
ordinary
organization  [단체, 조직]     organize [조직하다]	
original [최초의, 원래의]	
outstanding 	
over [우위, 지배], [all over again], [기간], 
     [be over, 끝나다], [-이상], [-위에]
overcome[극복하다]
overcrowd [혼잡하게 하다]
over-exertion [무리한 노력] 
overhear [엿듣다]	
overlook [내다보다, 내려다 보다]
overnight [밤새]	
overpopulation [인구과잉]	
over-simplification [지나친 단순화]	
overweight  [체중초과]	
own  [자신의], [소유하다]
owner [소유자]	
oxygen [산소]
ozone [오존]	
P
pace [보조를 맞추다]	
paint [페인트] [페인트 칠하다]   painter [화가, 페인트공]
                                painting [그림]	
pair  [한 쌍]	
paper [종이], 신문, 논문
parade 	[행렬, 과시] [열지어 행진하다]
paradise [천국, 낙원]
part  [헤어지다], [play a part - 역할], [부분]
participate [참가하다]         participation [참가]
particular [특별한, 특정한]    particularly [특별히]	
party [일행, 일단, 동아리], [파티, 모임]
pass  [합격하다], [지나가다]
passionate  [정열적인]	       passion [정열]	
patience [인내]		
patient [환자]	
pattern [모형, 양식]	
pause 	[잠시 멈추다], [잠깐 멈춤]
pavement [포장도로]	
pay  [지불하다], [pay attention to, 주의하다]
                 payment [지불, 보수]
peaceful  [평화로운]	
peasant [소작인]	
pedestrian  [보행자]	
penalize [벌을 주다]
perfectly [완전히]
perform 	  performance  [연주], [실행, 이행], [작업]
periodic  [주기적인]
permanent [(반) 영구적인]
permission [허락]              permit  [허락하다]	
personnel [인원, 사람들] [인사과(부)]
phrase [구, 어구]	
physical  [육체의, 신체의]	physically [신체적으로]
piece 악곡, 부분 
pine [소나무]		
playfully [유쾌하게]
please  [기쁘게 하다], [공손한 표현]
pleasure  [즐거움, 기쁨]
plethora [과잉, 적혈구]
poetry 	[시]          poet [시인]	
policy [정책]	
polish 	[닦다, 윤내다]
pollute 	[더럽히다, 오염시키다]     pollution [오염]	
poorly [부족하게, 불충분하게]	
popularity [인기], 대중성	
population  [인구]	
portion [부분]	
pose [자세를 취하다]	      position  [위치]	
positive  [적극적인, 긍정적인]	
possession [소유물]	
possibility [가능성]          possible  [가능한]
                            possibly [가능하게]
post [우송하다, 우체통에 넣다]	
pot [냄비] 	
potential [가능성, 잠재력]
pound  [파운드 - 영국의 화페], 무게의 단위.	
poverty [빈곤, 가난]	
practicable [실행 가능한]	
practical  [실제의, 실용적인]
         practice [실행하다], 실행, 연습
praise  [칭찬하다]	
precious [귀중한]
predict [예언하다]	
prefer [좋아하다]            preference [선호]	
prejudice [편견]		
preparation [준비, 예비]       prepare [준비하다]
preschooler  [취학전의 아동]	
present [선물하다], [내놓다, 소개하다], [현재(의)]
presidency [대통령직]	  president  [대통령], 사회자
pressure [압력, 강제], [압력을 가하다]
press [내리 누르다, 억누르다]
prevail [만연되다, 널리 퍼지다]	, [설득하다]
prevention [예방]	
previous [이전의]	
priest [사제]	
primitive [원시의]
priority 	
prior [이전의, 선행하는]
privacy [사생활, 사적인 자유]	
probably [아마]	
produce  [생산하다]          product  [산출물, 생산품]
                             production [생산품]
                      	productive [생산적인]
                             productivity [생산성]
professional [전문적인]	
profitable [유리한] [벌이가 많은]
profoundly [깊이, 몹시]	
progress [발전(하다)], [진보, 전진하다]
prohibit [금지하다] [방해하다]
project  [계획, 기획, 프로젝트]	
promise [약속(하다)]
promote [승진하다, 장려하다]	promotion [승진]
proof [증명, 검토]
proper [적당한] [고유의] [예의바른]
                 properly  [적당히, 정확히] 
                 propriety [예의바름], 적절, 타당
protect  [보호하다]	protection [보호, 방위]
protest 	[항의하다, 단언하다, 주장하다]
proudly [뽐내는, 거만한] proud [-을 자랑하다, 자부심을 갖다]
prove  [입증하다]
provide [제공하다]	
psychological [심리적인]    psychologist [심리학자]	
publicity [널리 알려짐, 공표]	
punch [주먹으로 쥐어박다]
punish [벌하다]
pupil [눈동자, 동공.] 학생(제자)
purchase  [구입하다=buy]
purely [순수하게]		purity [순수함]	
purpose [목적]	

Q
qualification  [자격]	   qualify [자격을 주다] [제한하다]
quality [질]		
quantity [양]		
questionnaire [설문지]	
quicken [빠르게 하다], [서두르게 하다=hasten]
         quickly [재빨리]
R
racial 	[인종의, 민족의]
radical 	[근본적인, 급진적인]
rainfall [강우, 강수량]	
raise  [제기하다], 들어올리다, 인상하다, 
      [조달하다, (돈을) 모으다] 
ranch [목장, 농장]
range [열] [범위]
rank [계급]	
rapid [빠른]
rare  [드문]	     rarely [드물게, 좀처럼 ~않는]
rate [비율], 요금, 속도, 등급
rather [rather than], [꽤]	
rational [이성이 있는, 합리적인]
ray [광선]	(X-ray)	
razor [면도칼]		
reach  [도착하다]	
react  [반응하다]         reaction[반응, 반작용]
                         reactive [민감한, 반응하는]
reader[읽는 사람]	
realistic [현실적인]           realize [깨닫다], 실현시키다
                             really  [정말로]
reason  [이유], [근거]	      reasonable  [타당한, 합리적인]	
rebuilding [재건축하다]	
recall [상기하다]	
recent  [최근의]             recently  [최근에]	
recite [암송하다]
recognize [인식하다]
recommend [추천하다, 권하다]
recover [되찾다, 회복하다]    recovery [되찾기, 회복하기]
recreational [여가의]	
recycle [재순환 시키다]	
reduce [감축하다, 줄이다]
reflect [반사하다]
refresh [새롭게하다]
regardless [부주의한, 관심없는]
regional [지역의, 지역적인]      region [지역]	
regret [후회, 유감] [후회하다]      regretful  [유감스러운]
regularity [규칙성]	regular [규칙적인, 정규의]
reinstall [재설치 하다]	
reject [거절하다]
relation  [관계]	
relationship [관계]	
relative [친척의]	
relatively [상대적으로]	
relax [긴장을 늦추다] 	    relaxation 	[이완, 경감]
relief [구원]	
relieved [안도하는]	
religion  [종교]	
remain [남다]	
remark [의견, 말]	
remember  [기억하다]         remembrance [기억, 추억]
remind  [상기시키다, 생각나게 하다]	
remove [제거하다]	
render [-하게 하다 =make], 주다 
renew [갱신하다]
rent [집세, 임차료]	
repair [수리하다]	
repeatedly [되풀이하여, 여러 차례]
reply  [대답하다]
report  [보고하다], [보고서]	
represent [대표하다] representative [대표자, 대리인]
republic [공화국]
require  [요구하다]	requirement [요구, 필요조건]
rescue [구출하다]
research [연구, 학술조사]   researcher [연구자]	
reserve [예비, 보류, 지원군], [보류하다, 유보하다]
residence [거주]
resort [유원지] [도움청하다]
resource [자원]	
resourcefulness [자원(이 풍부함)]	
respect  [존경], [존경하다], 관점.
respiration [호흡]
respond [응답하다]     respondent [응답자]	
response [반응, in response to: -에 응하여]
         responsibility [책임]   responsible [책임 있는]
         [be responsible for, -에 대해 책임지다]
rest [놓다], [나머지], 의지하다, [쉬다]
retailer [소매상인]
retiree 	[퇴직자, 은퇴자]
retreat 	[퇴각, 은퇴] [물러서다]
reveal [드러내다]	
revengeful [복수심의]	
reverse [뒤짚다], 뒤, 배후	
revise 	[교정, 수정, 개정하다]
revolution [혁명]	
reward [보답, 상] [보답하다]
rhythm [율동, 리듬]
rid [get rid of, 제거하다]	
rise  [오르다], [오름, 상승]
ritual [의식의] [종교적인 의식]
rod [막대기]
role  [역할]	
roll [구르다] [두루마리, 기록] [출석부]
romance [낭만]		romantic [낭만적인]	
roof [지붕]		
roommate [동거인]	
root [뿌리, 근원]	
rotten [불유쾌한], 썪은		
roughly [대략]		
rough [거친]	
rounder [round (둥근)의 비교급]	
rural  [시골의]		
rush  [분주, 돌진, 대수요]	
rustle [살랑거리다, 살랑살랑 흔들다]
S
sanitation  [공중위생, 위생설비]	
satisfaction  [만족]	
sauce [소스, 양념]
save [저축하다, 절약하다], (생명)구하다
scandal [추문, 악평]	
scan [자세히 조사하다]	
scarcity [부족, 결핍]
scenery [풍경, 배경]
scent [향기]	
schedule [계획]		
scholarship [장학금] [학문, 학식]
school  [학교], 유파, 가르치다, (물고기 등의) 떼
scold [꾸짖다]	
score [점수], 20, [득점, 득점하다]	
seal [바다표범, 물개]	
searching [엄중한, 날카로운]
seascape [바다의 경치, 바다풍경]
secretary [비서]
secure [안전하게 하다, 지키다]  security [안전]
seek [구하다, 찾다]
seemingly [겉보기에]		
selection [선택]		
self-confidence [자기확신]
self-critical [자기 비판적인]
self-disciplined [자제의]
self-expression [자기표현] 	
self-image  [자아상, 자기에 대한 이미지]
self-reliant [자기 의존적인]
self-satisfied [자기만족의]
self-sufficient [자급자족 할 수 있는]	
self-suggestion [자기암시]	
senior [손윗사람], 나이많은	
sense  [common sense, 상식], [감각]
	sensitive [민감한]
separate [별개의]	separately [따로따로]
series [시리즈, 연속]
serious  [심각한], [진지한], [중대한]  seriously [진지하게]
sermon [설교]		
serve[봉사하다]          service [봉사]	
session 	
severe 		        severely [심하게, 엄하게]
shadow  [그림자]
shake 		
shame [수치]	
shape  [모습, 형태]
share [나누다, 공유하다]	
sharp [날카로운]
sheet [시트 -  천]	
shopper [물건 사는 사람] shopping [쇼핑, 물건사기, 장보기]
shortage [부족]	
shortcut [지름길, 손쉬운 방법]
shot [발포, 발사] [총알] [저격]
shoulder  [어깨]	
shower  [소나기] 	
shrimp [새우]		
sidewalk [인도, 보도]	
sight [lose sight of, 못보다], 시각, 광경
sightseeing [관광여행]	
sigh [한숨쉬다]	
significance [중요, 중대성]
silly [어리석은]
similar [유사한]            similarly 	
simple [간단한]            simply [간단히, 단순히]
sincere  [진지한]		
situation  [상황, 위치, 처지]	
skin [피부, 가죽, 껍질]	
slam [꽝하고 부딪치다] 		
sleeper [침대차], 잠자는 사람
sleepy [졸리는]	
slightly [약간, 조금]     slight [가벼운, 사소한]	
slope 	[경사지게 하다] [비탈, 경사]
slow  [느린], [늦추다]	slowly [천천히, 느리게]
smoothly [매끄럽게] [평온하게]      smooth [부드러운]	
snap [잡아채다, 긁어모으다]
soap [비누]		
sociable [사교적인]	social [사회의, 사회적인]
society [사회]         sociologist [사회학자]	
softly [부드럽게]	soft [부드러운]	
soil [흙, 토양]	
solution  [해결(책)], 녹임, [용해, 용해제]
         solve  [풀다, 해결하다]
somehow [어쨌든]
sooner [sooner or later, 조만간에]
sorrowful  [슬픈]
sort  [종류=kind]	
soul  [영혼.]	
sound  [소리내다], [건전한], [들리다], [소리]	
source  [원천, 근원]	
southeast [남동쪽]
spaceship [우주선]
spank 	{찰싹 때리다(기)]
special  [특별한]    specialist [전문가]
                    specialize [전문화(특수화)하다]
species [종, 종류]	
speeder [고속 운전자, 속도 위반자]
spell [철자하다], 주문, 짧은 기간 
spend [spend  in ~ing (돈이나 시간 따위를)쓰다, 사용하다]
       spending [지출]	
spirit  [정신]     spiritual  [정신적인]	
splash [튀기다, 뿌리다]		
split [쪼개다, 찢다] 
spot [점]	
sprout 	[새싹] [싹을 나게하다]
square [정사각형, 정사각형의]
squirrel [다람쥐]	
staff [직원] 	
stage  [단계], [무대]	
stand  [참다, 견디다], [서다, 서있다]	
standard [표준의]	
start  [출발하다], 놀라다, [시작하다]
startled [놀란]
state [주], [state-of-the-art, 최신식의], [진술하다]	
status  [상태]	
stay [머무르다]
steadily [꾸준히]	steady [꾸준한]	
steak [두껍게 썬 고기, 스테이크]
steep [가파른]	
stem [줄기]
stick [내밀다], 찌르다. 꿰다 
stillness [고요함]	
still-usable [여전히 사용될 수 있는]
stimulation [자극]	
stir [휘젓다]	
stockpile [비축량, 사재기]
storm[폭풍우]	
strain [긴장], 잡아당기다, 종족 
stranger 이방인 	
strength [힘]	     strengthen [강하게 하다]
stressful [긴장이 많은]	
stretch [뻗침, 확장], 잡아늘이다
struggle [투쟁하다]	
subconscious [잠재의식의]
subject [과목], 주제, 주어
subscription 	
substance 	
substitute [substitute A for B, B대신 A를 대용하다]	
subtle [미묘한]	
subtract [공제하다, 빼다], [빼는 사람]
succeed [성공하다]	success  [성공]		
     successful [성공적인]	 successfully [성공적으로]
sudden [급작스러운]	suddenly  [갑자기]
suffer [다치다, 고통받다], [(고통따위를] 경험하다]	
sufficient [충분한, 흡족한]
suggest [제안하다] 	suggestion [제안]	
suit [(신사복) 한벌] [소송=lawsuit] [어울리다]
             suitable [적당한, 어울리는]
sum [총계] [합계하다]
sunken [침몰한, 움푹 들어간]
sunburn [햇볕에 탐]	   
          sunset [일몰- 반의어 sunrise(일출)]
          sunspot  [(태양의) 흑점]	
superbly [극복할 수 있을 정도로]
superhuman  [초인적인]
supervise  [감독하다]	
supplement [부록, 추가] [보충하다]
supply [공급, 공급품]	[공급하다, 보충하다]
support  [지지하다]     supporter [지지자, 후원자]
suppose  [분사형, 명령형으로, 만약 -라면], 가정하다
sure [확신하는]	    surely [확실히, 틀림없이]
surface [표면]	
surprised [놀란]	surprisingly [놀랄 만큼]	
surrounding [주변9의 상황)] [환경]
survey [검사, 조사] 	
survival  [생존]	survive [생존하다, 살아남다]	
suspended [매달린]	
sustained  한결같은
sweep [휩쓸다]	
sword [검, 칼]
symbol [상징, 심볼] 	symbolize [상징하다]	
T
tablet 	[정제]
tale  [이야기]	
tan [햇볕에 그을리기, 그을리다]
task [일, 과업]		
taste  [취미, 기호], 맛, 풍미
taxing [귀찮게 하는]	
teammate [같은 팀의 사람]
technological [과학기술의]	technology  [과학기술]	
teenager [10대의 소년, 소녀]
telescope [망원경]	
temper 	[기질] [노여움]
temperate [절제하는, 삼가는] [절주의]
tenant [거주자]	
tend [향하다, 가다], -하는 경향이 있다 tend to부정사
      tender [부드러운]
tension  [긴장]	
term  [용어], 기간, 조건, 관계
terrible [끔찍한] 	terrified [무서워하는, 겁먹은]
therefore  [그러므로]	
therein [그 가운데에, 그 점에 있어]	
thick [두꺼운]	반의어  thin [얇은]
thigh [넓적다리]	
though[그렇지만], 비록 -일지라도
thoughtfully [사려 깊게]   thoughtful [사려 깊은]
threaten [위협하다]	
throat [목구멍]		
through [-을 통해서]	
throughout  [-동안 내내, 처음부터 끝까지]
thumb 	[엄지손가락]
thump [쿵쾅거리다]
thunder [천둥]
thus [그래서]		
tide  [조수]	
tied [묶인]
tightly 	[단단히]
tile [타일(로 덮다)]	
time-lapse  [저속도 촬영의]
times [시대], [번]	
tiny [작은]
tolerate [관대하게 다루다]
tone  [어조]	
towards  [-을 향해서]	
trade-off [교환, 흥정]
traditional [전통의, 전통적인]	traditionally [전통적으로]
transfer [옮기다, 갈아타다]
transformation [변형]	
transportation  [운송(수단)]  transport [수송, 운송(하다)]
treatment  [치료]     treat [치료하다] 다루다.
tremendous [거대한, 대단한]
trigger [방아쇠를 당기다, 일을 일으키다]
trim [다듬다], 장식하다	
tripled [세배의]	
triumphantly [의기양양하게]
tropical [열대의]
trouble  [괴롭히다, 귀찮게 하다]	
trunk [나무의 줄기], 여행용 가방
truthfulness [사실성]	
two-way [양면의, 상호적인]
typical 	
U
ultimately[궁극적으로]	
ultraviolet [자외선(의)]	
unaided [원조를 받지 않는]
unchallenged [도전 받지 않는]	
unchangeable [변하지 않는, 불변의]
uncommon [드문, 보통이 아닌]
uncovered [덮개가 없는] [노출된]
underwater [수면하의]
undoubtedly [의심할 여지없이] 
unemployment [실직]	
unexpected [예기치 않은, 뜻밖의]
unfortunately [불행하게도]
unhappy  [불행한]	
unhurried [서두르지 않는, 신중한]
uniform [제복, 군복]
union [결합]	
unique [유일무이한]	
unknown [알려져 있지 않은]
unless [만약 -가 아니라면, 하지 않는다면]	
unpaid [무보수의]	
unpleasant  [불쾌한]		
unproductive [수확이 없는, 비생산적인]
unrest 	[(사회적인) 불안] [근심]
unrestricted [제한되지 않은]	
unskilled [미숙한, 기술이 없는]	
unthinkable [상상도 할 수 없는]
untroubled [괴로와 하지 않는, 흐트러지지 않은]
upset  [뒤엎다, 뒤엎힌]	
upward [위쪽으로]	
urban [도시의]	
used   [be used to -ing], [used to R, -하곤 했다]	
V
vague [모호한]			
valid [유효한]		
valuable [가치있는]	value  [가치, 값어치]	
varied [다양한]		variety [다양함, 가지각색] 
various  [여러, 다양한]	 vary [바뀌다, 바꾸다, 변화하다]
victim  [희생, 희생자], [희생물]
viewer  [보는사람]
villager [마을사람]	
violent [격렬한, 맹렬한]	
visualization [시각화]	
vocabulary [어휘]	
voice [목소리], [말하다]
volleyball [배구, 배구공]
volume [음량], 책(권), 용적, 체적	
volunteer  [지원자, 자발적으로 하는 사람]
volunteerism =voluntarism [자유제, 자유지원제]

W
waistline [허리선]	
wait 시중들다, 기다리다
want  [원하다], 부족, 결핍
warehouse  [도매점, 창고]
warm [따뜻한], [생생한]
wasteful [낭비하는]	
wavelength[파장]	wave [파도, 물결]
wayfarer [여행자]	
weak [약한]	weaken [약하게 하다]
wear [입다, 신다, 쓰다, 끼다], [닳게 하다]	
welfare [복지, 행복]
well [잘], [글세, 이런], [as well as, -뿐만 아니라]
well-paid [보수가 좋은]
whale  [고래]		
whizz [핑하고 소리나다]
widen [넓게하다]
wilderness [황무지, 황야]
wildlife [야생생물]	
willing [be willing to R]	
winding [구불구불한	
window [창문, 창], 매표구, 창구	
without  [-이 없이]	
witness [목격자], [목격하다]
witty [재치있는]	
woodland [삼림지]
wool 	[양모, 모직물, 털실]
world-renowned [전세계적으로 유명한]  	
worn-out [써서 낡은, 지친]   worn [지쳐버린] 	
worry  [걱정하다]
worse [bad-worse-worst ]
worsen [악화시키다, 악화하다]
would-be [-이 되려고 하는, 지망의]	
wound [상처, 부상]	
wreck [난파, 파멸]

Y
yard [마당, 뜰, 구내], [제조장]
yell [소리지르다]	
yet  [아직도], [여전히]	
yield [생산하다]
youngster  [젊은이]	
youth [젊음]	
zeal  [열심, 열성]	
zone [지대, 지역.]	
zoological [동물학의]				
